1,Wool Pendleton Blanket,unclaimed
2,Pizza Stone,unclaimed
3,Ice Cream Maker,unclaimed
4,St. Germain Liqeur,unclaimed
5,Plenty Cookbook,unclaimed
6,Bed Pillows,unclaimed
7,Wooden Salad Bowl,unclaimed
8,Ceramic Oil Cruet,unclaimed
9,Turkish Throw Pillow,unclaimed
10,Turkish Throw Pillow,unclaimed
11,Turkish Throw Pillow,unclaimed
12,Turkish Throw Pillow,unclaimed
13,Turkish Throw Pillow,unclaimed
14,Subscription to Lucky Peach Magazine,unclaimed
15,Toaster Oven,unclaimed
16,Pyrex Baking Dish,unclaimed
17,Bread Knife,unclaimed
18,The Science of Good Cooking,unclaimed
19,New York Times Book,unclaimed
20,Sydney Hale Candle Company candles,unclaimed
21,Knife Sharpening Stone,claimed

